Time Period,Reporter,Partner,Sector Group,Export Value,Import Value,Total Trade Volume
2026a,Malaysia,Philippines,Sector_5,979.89,754.31,1734.1999999999998
2026b,Malaysia,Philippines,Sector_5,968.52,856.79,1825.31
2026a,Malaysia,Philippines,Sector_6,447.6,562.78,1010.38
2026b,Malaysia,Philippines,Sector_6,560.79,650.05,1210.84
2026a,Malaysia,Philippines,Sector_7,312.84,373.3,686.14
2026b,Malaysia,Philippines,Sector_7,255.85,394.4,650.25
2026a,Malaysia,Philippines,Sector_8,978.34,210.59,1188.93
2026b,Malaysia,Philippines,Sector_8,939.17,226.23,1165.3999999999999
2026a,Malaysia,Germany,Sector_1,396.8,701.87,1098.67
2026b,Malaysia,Germany,Sector_1,286.08,875.33,1161.41
2026a,Malaysia,Germany,Sector_2,437.31,587.68,1024.99
2026b,Malaysia,Germany,Sector_2,393.74,471.93,865.6700000000001
2026a,Malaysia,Germany,Sector_3,568.97,528.74,1097.71
2026b,Malaysia,Germany,Sector_3,550.12,416.04,966.1600000000001
2026a,Malaysia,Germany,Sector_4,620.39,961.46,1581.85
2026b,Malaysia,Germany,Sector_4,682.14,1088.15,1770.29
2026a,Malaysia,Germany,Sector_5,294.1,675.75,969.85
2026b,Malaysia,Germany,Sector_5,235.57,782.94,1018.51
2026a,Malaysia,Germany,Sector_6,773.4,310.9,1084.3
2026b,Malaysia,Germany,Sector_6,783.29,398.01,1181.3
2026a,Malaysia,Germany,Sector_7,332.39,569.52,901.91
2026b,Malaysia,Germany,Sector_7,287.72,489.67,777.3900000000001
2026a,Malaysia,Germany,Sector_8,647.96,573.43,1221.3899999999999
2026b,Malaysia,Germany,Sector_8,509.33,414.33,923.66
2026a,Malaysia,France,Sector_1,585.18,270.35,855.53
2026b,Malaysia,France,Sector_1,486.43,303.1,789.53
2026a,Malaysia,France,Sector_2,644.71,812.59,1457.3000000000002
2026b,Malaysia,France,Sector_2,520.43,595.86,1116.29
2026a,Malaysia,France,Sector_3,709.0,952.68,1661.6799999999998
2026b,Malaysia,France,Sector_3,917.61,709.62,1627.23
2026a,Malaysia,France,Sector_4,259.13,315.5,574.63
2026b,Malaysia,France,Sector_4,322.98,238.19,561.1700000000001
2026a,Malaysia,France,Sector_5,330.97,504.92,835.8900000000001
2026b,Malaysia,France,Sector_5,348.26,435.56,783.8199999999999
2026a,Malaysia,France,Sector_6,535.49,875.96,1411.45
2026b,Malaysia,France,Sector_6,378.72,698.62,1077.3400000000001
2026a,Malaysia,France,Sector_7,480.63,251.08,731.71
2026b,Malaysia,France,Sector_7,461.38,199.97,661.35
2026a,Malaysia,France,Sector_8,261.09,971.06,1232.1499999999999
2026b,Malaysia,France,Sector_8,213.41,1199.13,1412.5400000000002
2026a,Malaysia,Switzerland,Sector_1,528.59,712.94,1241.5300000000002
2026b,Malaysia,Switzerland,Sector_1,455.28,564.52,1019.8
2026a,Malaysia,Switzerland,Sector_2,828.14,360.21,1188.35
2026b,Malaysia,Switzerland,Sector_2,720.43,312.42,1032.85
2026a,Malaysia,Switzerland,Sector_3,933.25,439.48,1372.73
2026b,Malaysia,Switzerland,Sector_3,866.98,338.14,1205.12
2026a,Malaysia,Switzerland,Sector_4,437.99,723.16,1161.15
2026b,Malaysia,Switzerland,Sector_4,336.95,867.51,1204.46
2026a,Malaysia,Switzerland,Sector_5,248.84,641.97,890.8100000000001
2026b,Malaysia,Switzerland,Sector_5,176.14,644.95,821.09
2026a,Malaysia,Switzerland,Sector_6,658.55,851.83,1510.38
2026b,Malaysia,Switzerland,Sector_6,663.06,1082.55,1745.61
2026a,Malaysia,Switzerland,Sector_7,336.93,308.42,645.35
2026b,Malaysia,Switzerland,Sector_7,353.87,321.4,675.27
2026a,Malaysia,Switzerland,Sector_8,694.63,225.1,919.73
2026b,Malaysia,Switzerland,Sector_8,637.12,268.65,905.77
2026a,Malaysia,Netherlands,Sector_1,521.53,471.03,992.56
2026b,Malaysia,Netherlands,Sector_1,521.2,443.58,964.78
2026a,Malaysia,Netherlands,Sector_2,367.74,681.1,1048.8400000000001
2026b,Malaysia,Netherlands,Sector_2,376.82,649.47,1026.29
2026a,Malaysia,Netherlands,Sector_3,518.98,893.33,1412.31
2026b,Malaysia,Netherlands,Sector_3,648.82,1064.35,1713.17
2026a,Malaysia,Netherlands,Sector_4,692.93,732.57,1425.5
2026b,Malaysia,Netherlands,Sector_4,499.47,539.94,1039.41
2026a,Malaysia,Netherlands,Sector_5,789.43,409.75,1199.1799999999998
2026b,Malaysia,Netherlands,Sector_5,1014.6,341.88,1356.48
2026a,Malaysia,Netherlands,Sector_6,625.51,784.8,1410.31
2026b,Malaysia,Netherlands,Sector_6,640.86,985.74,1626.6
2026a,Malaysia,Netherlands,Sector_7,981.28,448.38,1429.6599999999999
2026b,Malaysia,Netherlands,Sector_7,702.3,451.89,1154.19
2026a,Malaysia,Netherlands,Sector_8,996.48,503.68,1500.16
2026b,Malaysia,Netherlands,Sector_8,845.18,649.71,1494.8899999999999
2026a,United States,"Hong Kong, China",Sector_1,630.64,726.2,1356.8400000000001
2026b,United States,"Hong Kong, China",Sector_1,805.19,603.84,1409.0300000000002
2026a,United States,"Hong Kong, China",Sector_2,588.54,411.2,999.74
2026b,United States,"Hong Kong, China",Sector_2,521.98,417.05,939.03
2026a,United States,"Hong Kong, China",Sector_3,928.18,610.94,1539.12
2026b,United States,"Hong Kong, China",Sector_3,1141.72,595.5,1737.22
2026a,United States,"Hong Kong, China",Sector_4,244.8,238.57,483.37
2026b,United States,"Hong Kong, China",Sector_4,237.74,182.9,420.64
2026a,United States,"Hong Kong, China",Sector_5,200.03,380.14,580.17
2026b,United States,"Hong Kong, China",Sector_5,201.41,307.57,508.98
2026a,United States,"Hong Kong, China",Sector_6,983.49,540.56,1524.05
2026b,United States,"Hong Kong, China",Sector_6,902.17,660.62,1562.79
2026a,United States,"Hong Kong, China",Sector_7,333.93,235.67,569.6
2026b,United States,"Hong Kong, China",Sector_7,296.89,256.16,553.05
2026a,United States,"Hong Kong, China",Sector_8,283.1,815.36,1098.46
2026b,United States,"Hong Kong, China",Sector_8,308.53,908.1,1216.63
2026a,United States,Indonesia,Sector_1,979.33,232.03,1211.3600000000001
2026b,United States,Indonesia,Sector_1,784.49,266.44,1050.93
2026a,United States,Indonesia,Sector_2,429.35,950.87,1380.22
2026b,United States,Indonesia,Sector_2,368.01,785.55,1153.56
2026a,United States,Indonesia,Sector_3,723.31,729.24,1452.55
2026b,United States,Indonesia,Sector_3,741.96,788.69,1530.65
2026a,United States,Indonesia,Sector_4,252.44,808.77,1061.21
2026b,United States,Indonesia,Sector_4,289.3,874.98,1164.28
2026a,United States,Indonesia,Sector_5,987.96,704.89,1692.85
2026b,United States,Indonesia,Sector_5,990.77,683.97,1674.74
2026a,United States,Indonesia,Sector_6,835.7,441.41,1277.1100000000001
2026b,United States,Indonesia,Sector_6,1018.77,337.59,1356.36
2026a,United States,Indonesia,Sector_7,368.6,261.45,630.05
2026b,United States,Indonesia,Sector_7,364.35,271.84,636.19
2026a,United States,Indonesia,Sector_8,358.7,522.93,881.6299999999999
2026b,United States,Indonesia,Sector_8,412.02,468.41,880.4300000000001
2026a,United States,"Korea, Rep.",Sector_1,678.46,831.71,1510.17
2026b,United States,"Korea, Rep.",Sector_1,743.63,1011.01,1754.6399999999999
2026a,United States,"Korea, Rep.",Sector_2,384.82,681.13,1065.95
2026b,United States,"Korea, Rep.",Sector_2,369.83,676.97,1046.8
2026a,United States,"Korea, Rep.",Sector_3,974.51,857.14,1831.65
2026b,United States,"Korea, Rep.",Sector_3,1247.57,1019.48,2267.05
2026a,United States,"Korea, Rep.",Sector_4,464.96,699.29,1164.25
2026b,United States,"Korea, Rep.",Sector_4,539.27,813.72,1352.99
2026a,United States,"Korea, Rep.",Sector_5,633.1,625.51,1258.6100000000001
2026b,United States,"Korea, Rep.",Sector_5,537.06,755.46,1292.52
2026a,United States,"Korea, Rep.",Sector_6,953.8,821.22,1775.02
2026b,United States,"Korea, Rep.",Sector_6,863.95,752.77,1616.72
2026a,United States,"Korea, Rep.",Sector_7,358.19,901.4,1259.59
2026b,United States,"Korea, Rep.",Sector_7,434.17,776.12,1210.29
2026a,United States,"Korea, Rep.",Sector_8,849.51,475.08,1324.59
2026b,United States,"Korea, Rep.",Sector_8,672.43,584.34,1256.77
2026a,United States,Japan,Sector_1,388.11,248.82,636.9300000000001
2026b,United States,Japan,Sector_1,453.81,188.55,642.36
2026a,United States,Japan,Sector_2,965.1,811.52,1776.62
2026b,United States,Japan,Sector_2,999.17,817.6,1816.77
2026a,United States,Japan,Sector_3,698.19,279.94,978.1300000000001
2026b,United States,Japan,Sector_3,897.27,248.77,1146.04
2026a,United States,Japan,Sector_4,992.87,930.68,1923.55
2026b,United States,Japan,Sector_4,790.79,980.86,1771.65
2026a,United States,Japan,Sector_5,366.55,863.84,1230.39
2026b,United States,Japan,Sector_5,377.47,1038.78,1416.25
2026a,United States,Japan,Sector_6,816.33,668.53,1484.8600000000001
2026b,United States,Japan,Sector_6,890.23,799.92,1690.15
2026a,United States,Japan,Sector_7,566.75,257.2,823.95
2026b,United States,Japan,Sector_7,664.35,180.85,845.2
2026a,United States,Japan,Sector_8,546.84,220.15,766.99
2026b,United States,Japan,Sector_8,674.64,268.71,943.3499999999999
2026a,United States,Thailand,Sector_1,566.63,225.29,791.92
2026b,United States,Thailand,Sector_1,731.52,261.01,992.53
2026a,United States,Thailand,Sector_2,797.56,898.04,1695.6
2026b,United States,Thailand,Sector_2,579.52,772.25,1351.77
2026a,United States,Thailand,Sector_3,499.26,821.97,1321.23
2026b,United States,Thailand,Sector_3,379.24,768.63,1147.87
2026a,United States,Thailand,Sector_4,412.17,711.43,1123.6
2026b,United States,Thailand,Sector_4,292.37,618.3,910.67
2026a,United States,Thailand,Sector_5,345.4,558.7,904.1
2026b,United States,Thailand,Sector_5,273.64,404.56,678.2
2026a,United States,Thailand,Sector_6,305.57,224.29,529.86
2026b,United States,Thailand,Sector_6,350.02,177.8,527.8199999999999
2026a,United States,Thailand,Sector_7,746.7,490.42,1237.1200000000001
2026b,United States,Thailand,Sector_7,625.96,432.95,1058.91
2026a,United States,Thailand,Sector_8,706.0,229.93,935.9300000000001
2026b,United States,Thailand,Sector_8,697.9,294.22,992.12
2026a,United States,Australia,Sector_1,749.46,367.8,1117.26
2026b,United States,Australia,Sector_1,884.55,296.18,1180.73
2026a,United States,Australia,Sector_2,485.6,926.48,1412.08
2026b,United States,Australia,Sector_2,453.87,926.93,1380.8
2026a,United States,Australia,Sector_3,387.8,746.6,1134.4
2026b,United States,Australia,Sector_3,467.49,555.8,1023.29
2026a,United States,Australia,Sector_4,640.2,389.5,1029.7
2026b,United States,Australia,Sector_4,714.03,329.78,1043.81
2026a,United States,Australia,Sector_5,777.95,299.74,1077.69
2026b,United States,Australia,Sector_5,709.88,222.34,932.22
2026a,United States,Australia,Sector_6,525.23,664.72,1189.95
2026b,United States,Australia,Sector_6,408.02,686.36,1094.38
2026a,United States,Australia,Sector_7,694.24,227.78,922.02
2026b,United States,Australia,Sector_7,784.21,231.89,1016.1
2026a,United States,Australia,Sector_8,265.62,426.58,692.2
2026b,United States,Australia,Sector_8,263.1,464.76,727.86
2026a,United States,Vietnam,Sector_1,598.75,344.9,943.65
2026b,United States,Vietnam,Sector_1,729.32,276.28,1005.6
2026a,United States,Vietnam,Sector_2,957.93,356.28,1314.21
2026b,United States,Vietnam,Sector_2,686.58,359.63,1046.21
2026a,United States,Vietnam,Sector_3,983.72,938.42,1922.1399999999999
2026b,United States,Vietnam,Sector_3,1218.32,944.01,2162.33
2026a,United States,Vietnam,Sector_4,959.34,311.29,1270.63
2026b,United States,Vietnam,Sector_4,817.86,283.89,1101.75
2026a,United States,Vietnam,Sector_5,774.85,309.0,1083.85
2026b,United States,Vietnam,Sector_5,936.11,320.63,1256.74
2026a,United States,Vietnam,Sector_6,466.15,331.11,797.26
2026b,United States,Vietnam,Sector_6,575.62,335.27,910.89
2026a,United States,Vietnam,Sector_7,255.47,338.02,593.49
2026b,United States,Vietnam,Sector_7,228.1,355.13,583.23
2026a,United States,Vietnam,Sector_8,646.32,383.96,1030.28
2026b,United States,Vietnam,Sector_8,799.51,288.02,1087.53
2026a,United States,India,Sector_1,274.69,311.88,586.5699999999999
2026b,United States,India,Sector_1,202.15,324.06,526.21
2026a,United States,India,Sector_2,728.99,711.16,1440.15
2026b,United States,India,Sector_2,714.26,765.52,1479.78
2026a,United States,India,Sector_3,200.39,202.66,403.04999999999995
2026b,United States,India,Sector_3,187.98,208.32,396.29999999999995
2026a,United States,India,Sector_4,618.03,361.68,979.71
2026b,United States,India,Sector_4,541.07,361.38,902.45
2026a,United States,India,Sector_5,258.97,726.94,985.9100000000001
2026b,United States,India,Sector_5,251.97,562.26,814.23
2026a,United States,India,Sector_6,922.0,755.4,1677.4
2026b,United States,India,Sector_6,1003.55,949.57,1953.12
2026a,United States,India,Sector_7,282.63,981.27,1263.9
2026b,United States,India,Sector_7,258.52,1058.51,1317.03
2026a,United States,India,Sector_8,769.31,239.38,1008.6899999999999
2026b,United States,India,Sector_8,654.93,194.65,849.5799999999999
2026a,United States,United Arab Emirates,Sector_1,547.19,490.6,1037.79
2026b,United States,United Arab Emirates,Sector_1,516.88,449.92,966.8
2026a,United States,United Arab Emirates,Sector_2,267.16,687.82,954.98
2026b,United States,United Arab Emirates,Sector_2,266.38,799.09,1065.47
2026a,United States,United Arab Emirates,Sector_3,913.1,636.66,1549.76
2026b,United States,United Arab Emirates,Sector_3,1141.23,667.16,1808.3899999999999
2026a,United States,United Arab Emirates,Sector_4,943.29,952.89,1896.1799999999998
2026b,United States,United Arab Emirates,Sector_4,839.81,1112.52,1952.33
2026a,United States,United Arab Emirates,Sector_5,854.53,241.01,1095.54
2026b,United States,United Arab Emirates,Sector_5,1001.21,172.72,1173.93
2026a,United States,United Arab Emirates,Sector_6,625.4,714.28,1339.6799999999998
2026b,United States,United Arab Emirates,Sector_6,638.22,530.16,1168.38
2026a,United States,United Arab Emirates,Sector_7,394.59,468.34,862.93
2026b,United States,United Arab Emirates,Sector_7,297.65,452.78,750.43
2026a,United States,United Arab Emirates,Sector_8,391.76,315.51,707.27
2026b,United States,United Arab Emirates,Sector_8,439.94,225.68,665.62
2026a,United States,Philippines,Sector_1,929.82,699.77,1629.5900000000001
2026b,United States,Philippines,Sector_1,988.37,827.31,1815.6799999999998
2026a,United States,Philippines,Sector_2,500.34,837.24,1337.58
2026b,United States,Philippines,Sector_2,352.96,1028.37,1381.33
2026a,United States,Philippines,Sector_3,894.35,530.02,1424.37
2026b,United States,Philippines,Sector_3,780.88,399.33,1180.21
2026a,United States,Philippines,Sector_4,220.6,230.59,451.19
2026b,United States,Philippines,Sector_4,225.98,251.69,477.66999999999996
2026a,United States,Philippines,Sector_5,433.7,696.09,1129.79
2026b,United States,Philippines,Sector_5,460.25,773.67,1233.92
2026a,United States,Philippines,Sector_6,305.11,511.23,816.34
2026b,United States,Philippines,Sector_6,242.87,407.51,650.38
2026a,United States,Philippines,Sector_7,406.51,977.18,1383.69
2026b,United States,Philippines,Sector_7,439.53,834.5,1274.03
2026a,United States,Philippines,Sector_8,407.11,978.86,1385.97
2026b,United States,Philippines,Sector_8,458.43,895.42,1353.85
2026a,United States,Germany,Sector_1,769.46,322.88,1092.3400000000001
2026b,United States,Germany,Sector_1,774.22,384.51,1158.73
2026a,United States,Germany,Sector_2,309.35,332.92,642.27
2026b,United States,Germany,Sector_2,365.36,240.5,605.86
2026a,United States,Germany,Sector_3,585.42,208.17,793.5899999999999
2026b,United States,Germany,Sector_3,720.69,149.03,869.72
2026a,United States,Germany,Sector_4,649.14,563.42,1212.56
2026b,United States,Germany,Sector_4,783.67,685.71,1469.38
2026a,United States,Germany,Sector_5,444.93,420.32,865.25
2026b,United States,Germany,Sector_5,495.75,422.18,917.9300000000001
2026a,United States,Germany,Sector_6,230.2,802.34,1032.54
2026b,United States,Germany,Sector_6,219.69,601.59,821.28
2026a,United States,Germany,Sector_7,813.14,936.67,1749.81
2026b,United States,Germany,Sector_7,764.16,753.58,1517.74
2026a,United States,Germany,Sector_8,862.93,634.22,1497.15
2026b,United States,Germany,Sector_8,610.23,596.54,1206.77
2026a,United States,France,Sector_1,815.7,668.56,1484.26
2026b,United States,France,Sector_1,669.05,473.31,1142.36
2026a,United States,France,Sector_2,240.99,757.48,998.47
2026b,United States,France,Sector_2,170.74,783.16,953.9
2026a,United States,France,Sector_3,502.45,465.13,967.5799999999999
2026b,United States,France,Sector_3,435.57,445.77,881.3399999999999
2026a,United States,France,Sector_4,976.35,636.67,1613.02
2026b,United States,France,Sector_4,1196.38,711.81,1908.19
2026a,United States,France,Sector_5,738.47,590.51,1328.98
2026b,United States,France,Sector_5,953.15,473.31,1426.46
2026a,United States,France,Sector_6,533.7,353.94,887.6400000000001
2026b,United States,France,Sector_6,410.1,353.96,764.06
2026a,United States,France,Sector_7,298.12,755.9,1054.02
2026b,United States,France,Sector_7,255.19,760.76,1015.95
2026a,United States,France,Sector_8,580.06,402.02,982.0799999999999
2026b,United States,France,Sector_8,460.78,462.39,923.17
2026a,United States,Switzerland,Sector_1,589.33,216.08,805.4100000000001
2026b,United States,Switzerland,Sector_1,604.53,268.18,872.71
2026a,United States,Switzerland,Sector_2,474.13,928.62,1402.75
2026b,United States,Switzerland,Sector_2,464.75,676.85,1141.6
2026a,United States,Switzerland,Sector_3,704.4,537.15,1241.55
2026b,United States,Switzerland,Sector_3,892.91,614.77,1507.6799999999998
2026a,United States,Switzerland,Sector_4,630.18,762.59,1392.77
2026b,United States,Switzerland,Sector_4,513.18,953.11,1466.29
2026a,United States,Switzerland,Sector_5,773.98,375.8,1149.78
2026b,United States,Switzerland,Sector_5,605.56,292.69,898.25
2026a,United States,Switzerland,Sector_6,659.75,802.13,1461.88
2026b,United States,Switzerland,Sector_6,778.44,716.73,1495.17
2026a,United States,Switzerland,Sector_7,940.49,811.64,1752.13
2026b,United States,Switzerland,Sector_7,892.61,809.4,1702.01
2026a,United States,Switzerland,Sector_8,551.07,631.85,1182.92
2026b,United States,Switzerland,Sector_8,700.36,747.38,1447.74
2026a,United States,Netherlands,Sector_1,260.8,494.22,755.02
2026b,United States,Netherlands,Sector_1,308.66,556.24,864.9000000000001
2026a,United States,Netherlands,Sector_2,777.59,587.84,1365.43
2026b,United States,Netherlands,Sector_2,696.14,425.69,1121.83
2026a,United States,Netherlands,Sector_3,496.3,353.64,849.94
2026b,United States,Netherlands,Sector_3,533.43,453.08,986.51
2026a,United States,Netherlands,Sector_4,839.74,505.63,1345.37
2026b,United States,Netherlands,Sector_4,1043.75,501.06,1544.81
2026a,United States,Netherlands,Sector_5,572.9,470.18,1043.08
2026b,United States,Netherlands,Sector_5,682.79,608.21,1291.0
2026a,United States,Netherlands,Sector_6,956.66,421.03,1377.69
2026b,United States,Netherlands,Sector_6,746.51,430.52,1177.03
2026a,United States,Netherlands,Sector_7,461.86,441.86,903.72
2026b,United States,Netherlands,Sector_7,492.13,351.35,843.48
2026a,United States,Netherlands,Sector_8,466.8,667.42,1134.22
2026b,United States,Netherlands,Sector_8,390.46,825.08,1215.54
2026a,"Hong Kong, China",Indonesia,Sector_1,984.75,268.23,1252.98
2026b,"Hong Kong, China",Indonesia,Sector_1,1106.99,334.18,1441.17
2026a,"Hong Kong, China",Indonesia,Sector_2,333.27,524.8,858.0699999999999
2026b,"Hong Kong, China",Indonesia,Sector_2,316.24,493.02,809.26
2026a,"Hong Kong, China",Indonesia,Sector_3,264.27,483.07,747.3399999999999
2026b,"Hong Kong, China",Indonesia,Sector_3,282.47,570.92,853.39
2026a,"Hong Kong, China",Indonesia,Sector_4,509.38,802.42,1311.8
2026b,"Hong Kong, China",Indonesia,Sector_4,578.83,564.98,1143.81
2026a,"Hong Kong, China",Indonesia,Sector_5,344.29,760.33,1104.6200000000001
2026b,"Hong Kong, China",Indonesia,Sector_5,373.09,831.69,1204.78
2026a,"Hong Kong, China",Indonesia,Sector_6,773.09,593.77,1366.8600000000001
2026b,"Hong Kong, China",Indonesia,Sector_6,622.54,473.8,1096.34
2026a,"Hong Kong, China",Indonesia,Sector_7,286.67,230.91,517.58
2026b,"Hong Kong, China",Indonesia,Sector_7,244.98,228.42,473.4
2026a,"Hong Kong, China",Indonesia,Sector_8,905.39,241.47,1146.86
2026b,"Hong Kong, China",Indonesia,Sector_8,1070.3,282.73,1353.03
2026a,"Hong Kong, China","Korea, Rep.",Sector_1,321.41,357.22,678.6300000000001
2026b,"Hong Kong, China","Korea, Rep.",Sector_1,386.1,252.5,638.6
2026a,"Hong Kong, China","Korea, Rep.",Sector_2,430.49,985.32,1415.81
2026b,"Hong Kong, China","Korea, Rep.",Sector_2,458.6,1001.51,1460.1100000000001
2026a,"Hong Kong, China","Korea, Rep.",Sector_3,991.2,812.01,1803.21
2026b,"Hong Kong, China","Korea, Rep.",Sector_3,755.59,599.15,1354.74
2026a,"Hong Kong, China","Korea, Rep.",Sector_4,501.17,412.32,913.49
2026b,"Hong Kong, China","Korea, Rep.",Sector_4,394.38,414.37,808.75
2026a,"Hong Kong, China","Korea, Rep.",Sector_5,613.98,528.96,1142.94
2026b,"Hong Kong, China","Korea, Rep.",Sector_5,611.38,574.82,1186.2
2026a,"Hong Kong, China","Korea, Rep.",Sector_6,237.5,766.86,1004.36
2026b,"Hong Kong, China","Korea, Rep.",Sector_6,297.75,859.28,1157.03
2026a,"Hong Kong, China","Korea, Rep.",Sector_7,376.52,630.48,1007.0
2026b,"Hong Kong, China","Korea, Rep.",Sector_7,465.86,473.66,939.52
2026a,"Hong Kong, China","Korea, Rep.",Sector_8,479.89,333.21,813.0999999999999
2026b,"Hong Kong, China","Korea, Rep.",Sector_8,582.19,351.61,933.8000000000001
2026a,"Hong Kong, China",Japan,Sector_1,204.6,494.79,699.39
2026b,"Hong Kong, China",Japan,Sector_1,254.01,511.46,765.47
2026a,"Hong Kong, China",Japan,Sector_2,263.85,321.16,585.01
2026b,"Hong Kong, China",Japan,Sector_2,266.96,228.15,495.11
2026a,"Hong Kong, China",Japan,Sector_3,831.15,837.94,1669.0900000000001
2026b,"Hong Kong, China",Japan,Sector_3,1012.68,640.54,1653.2199999999998
2026a,"Hong Kong, China",Japan,Sector_4,493.89,555.35,1049.24
2026b,"Hong Kong, China",Japan,Sector_4,521.39,716.85,1238.24
2026a,"Hong Kong, China",Japan,Sector_5,706.61,451.26,1157.87
2026b,"Hong Kong, China",Japan,Sector_5,537.72,419.78,957.5
2026a,"Hong Kong, China",Japan,Sector_6,251.95,714.04,965.99
2026b,"Hong Kong, China",Japan,Sector_6,282.28,539.76,822.04
2026a,"Hong Kong, China",Japan,Sector_7,572.8,859.23,1432.03
2026b,"Hong Kong, China",Japan,Sector_7,726.48,709.67,1436.15
2026a,"Hong Kong, China",Japan,Sector_8,956.64,471.02,1427.6599999999999
2026b,"Hong Kong, China",Japan,Sector_8,720.36,523.2,1243.56
2026a,"Hong Kong, China",Thailand,Sector_1,805.66,363.43,1169.09
2026b,"Hong Kong, China",Thailand,Sector_1,593.97,399.69,993.6600000000001
2026a,"Hong Kong, China",Thailand,Sector_2,736.88,487.36,1224.24
2026b,"Hong Kong, China",Thailand,Sector_2,655.28,454.18,1109.46
2026a,"Hong Kong, China",Thailand,Sector_3,381.66,440.07,821.73
2026b,"Hong Kong, China",Thailand,Sector_3,398.36,518.16,916.52
2026a,"Hong Kong, China",Thailand,Sector_4,395.68,400.42,796.1
2026b,"Hong Kong, China",Thailand,Sector_4,361.62,300.69,662.31
2026a,"Hong Kong, China",Thailand,Sector_5,762.0,948.46,1710.46
2026b,"Hong Kong, China",Thailand,Sector_5,778.97,1162.34,1941.31
2026a,"Hong Kong, China",Thailand,Sector_6,799.77,330.08,1129.85
2026b,"Hong Kong, China",Thailand,Sector_6,818.87,295.48,1114.35
2026a,"Hong Kong, China",Thailand,Sector_7,933.74,390.6,1324.3400000000001
2026b,"Hong Kong, China",Thailand,Sector_7,940.79,380.87,1321.6599999999999
2026a,"Hong Kong, China",Thailand,Sector_8,940.35,535.83,1476.18
2026b,"Hong Kong, China",Thailand,Sector_8,1035.89,664.44,1700.3300000000002
2026a,"Hong Kong, China",Australia,Sector_1,439.69,206.44,646.13
2026b,"Hong Kong, China",Australia,Sector_1,537.92,172.3,710.22
2026a,"Hong Kong, China",Australia,Sector_2,439.21,955.19,1394.4
2026b,"Hong Kong, China",Australia,Sector_2,528.76,678.07,1206.83
2026a,"Hong Kong, China",Australia,Sector_3,861.58,608.93,1470.51
2026b,"Hong Kong, China",Australia,Sector_3,871.46,723.34,1594.8000000000002
2026a,"Hong Kong, China",Australia,Sector_4,584.06,980.27,1564.33
2026b,"Hong Kong, China",Australia,Sector_4,705.0,712.86,1417.8600000000001
2026a,"Hong Kong, China",Australia,Sector_5,412.68,277.36,690.04
2026b,"Hong Kong, China",Australia,Sector_5,357.79,339.34,697.13
2026a,"Hong Kong, China",Australia,Sector_6,616.09,632.88,1248.97
2026b,"Hong Kong, China",Australia,Sector_6,545.92,504.31,1050.23
2026a,"Hong Kong, China",Australia,Sector_7,427.99,897.67,1325.6599999999999
2026b,"Hong Kong, China",Australia,Sector_7,490.05,1086.55,1576.6
2026a,"Hong Kong, China",Australia,Sector_8,896.53,762.34,1658.87
2026b,"Hong Kong, China",Australia,Sector_8,670.0,821.64,1491.6399999999999
2026a,"Hong Kong, China",Vietnam,Sector_1,787.87,894.5,1682.37
2026b,"Hong Kong, China",Vietnam,Sector_1,856.73,1029.75,1886.48
2026a,"Hong Kong, China",Vietnam,Sector_2,822.86,863.56,1686.42
2026b,"Hong Kong, China",Vietnam,Sector_2,1002.79,871.69,1874.48
2026a,"Hong Kong, China",Vietnam,Sector_3,914.45,839.33,1753.7800000000002
2026b,"Hong Kong, China",Vietnam,Sector_3,705.48,677.05,1382.53
2026a,"Hong Kong, China",Vietnam,Sector_4,781.54,987.19,1768.73
2026b,"Hong Kong, China",Vietnam,Sector_4,795.51,1124.0,1919.51
2026a,"Hong Kong, China",Vietnam,Sector_5,287.16,791.5,1078.66
2026b,"Hong Kong, China",Vietnam,Sector_5,245.67,562.12,807.79
2026a,"Hong Kong, China",Vietnam,Sector_6,498.08,423.21,921.29
2026b,"Hong Kong, China",Vietnam,Sector_6,477.06,475.57,952.63
2026a,"Hong Kong, China",Vietnam,Sector_7,613.77,936.93,1550.6999999999998
2026b,"Hong Kong, China",Vietnam,Sector_7,579.37,996.45,1575.8200000000002
2026a,"Hong Kong, China",Vietnam,Sector_8,884.88,984.66,1869.54
2026b,"Hong Kong, China",Vietnam,Sector_8,688.97,946.91,1635.88
2026a,"Hong Kong, China",India,Sector_1,911.54,604.24,1515.78
2026b,"Hong Kong, China",India,Sector_1,789.53,728.71,1518.24
2026a,"Hong Kong, China",India,Sector_2,399.06,502.21,901.27
2026b,"Hong Kong, China",India,Sector_2,413.19,644.22,1057.41
2026a,"Hong Kong, China",India,Sector_3,430.79,785.93,1216.72
2026b,"Hong Kong, China",India,Sector_3,485.96,954.69,1440.65
2026a,"Hong Kong, China",India,Sector_4,550.83,567.37,1118.2
2026b,"Hong Kong, China",India,Sector_4,674.83,669.63,1344.46
2026a,"Hong Kong, China",India,Sector_5,621.17,239.98,861.15
2026b,"Hong Kong, China",India,Sector_5,803.66,292.72,1096.38
2026a,"Hong Kong, China",India,Sector_6,568.07,202.55,770.6200000000001
2026b,"Hong Kong, China",India,Sector_6,429.28,258.78,688.06
2026a,"Hong Kong, China",India,Sector_7,549.53,903.7,1453.23
2026b,"Hong Kong, China",India,Sector_7,648.71,1057.98,1706.69
2026a,"Hong Kong, China",India,Sector_8,511.2,610.94,1122.14
